shipment_id,origin_city,destination_city,avg_speed_mph,weight_of_truck_tons,fuel_price_usd_per_gallon,fuel_efficiency_mpg,traffic_status,road_condition_score,weather_condition,season,delivery_target_days,driver_hours_per_day,market_demand_index,carrier_type,holiday_indicator,lane_id_corrected,ref_distance_miles,ref_speed_limit_mph,ref_total_lane_cost_usd,fuel_cost_usd,total_cost_usd,axle_3,axle_4,axle_5,axle_6_plus
SH_024,"Dallas, TX","Seattle, WA",40.9,21.1,3.35,7.76,High,9.7,Rain,Winter,6,8,3.7,Flatbed,0,1,1932,60,3525.9,834.0463918,4359.946392,0,0,0,1
SH_025,"Atlanta, GA","Chicago, IL",72.5,15.7,4.93,7.85,Medium,9.1,Clear,Spring,3,8,8.5,Dry Van,1,3,677,80,1844.82,425.1732484,2269.993248,0,1,0,0
SH_026,"Atlanta, GA","Seattle, WA",45.9,18.9,4.87,6.78,High,7.4,Storm,Fall,8,8,6.2,Refrigerated,1,1,2505,60,4584.15,1799.314159,6383.464159,0,0,0,1
SH_027,"Denver, CO","Atlanta, GA",44.9,18.0,4.75,6.96,Low,8.2,Fog,Summer,5,8,5.5,Tanker,1,1,1392,60,2540.4,950.0,3490.4,1,0,0,0
SH_028,"Phoenix, AZ","Dallas, TX",54.7,11.4,4.22,4.33,High,4.0,Clear,Winter,4,8,1.9,Tanker,1,1,1017,60,1851.96,991.1639723,2843.123972,0,1,0,0
SH_029,"Chicago, IL","Atlanta, GA",53.9,6.3,4.77,4.11,Low,7.5,Storm,Fall,3,8,0.4,Refrigerated,1,1,677,60,1251.1,785.7153285,2036.815328,0,1,0,0
SH_030,"Los Angeles, CA","Houston, TX",59.0,12.2,4.18,4.12,Low,4.2,Clear,Fall,4,8,3.6,Flatbed,0,1,1577,60,2892.22,1599.966019,4492.186019,1,0,0,0
SH_031,"Seattle, WA","Dallas, TX",58.3,24.2,3.43,6.49,Low,4.5,Rain,Fall,6,8,5.4,Tanker,1,1,1932,60,3525.9,1021.072419,4546.972419,0,1,0,0
SH_032,"Atlanta, GA","Denver, CO",65.4,29.4,4.03,5.29,Low,8.8,Fog,Winter,4,8,7.4,Tanker,1,2,1392,70,2992.8,1060.446125,4053.246125,0,0,1,0
SH_033,"Phoenix, AZ","Houston, TX",46.5,7.0,3.86,6.75,High,4.3,Storm,Fall,4,8,2.5,Refrigerated,0,1,1166,60,2123.29,666.7792593,2790.069259,0,0,1,0
SH_034,"Houston, TX","Atlanta, GA",65.0,21.5,3.56,7.82,High,8.4,Storm,Winter,2,8,7.3,Dry Van,0,2,806,70,1728.87,366.9258312,2095.795831,0,0,0,1
SH_035,"Dallas, TX","Phoenix, AZ",59.8,9.0,3.24,5.37,High,4.6,Rain,Winter,3,8,8.6,Flatbed,0,1,1017,60,1851.96,613.6089385,2465.568939,1,0,0,0
SH_036,"Chicago, IL","New York, NY",56.6,7.4,3.98,5.89,Low,5.0,Fog,Winter,2,8,0.5,Refrigerated,0,1,818,60,1537.02,552.7402377,2089.760238,0,0,0,1
SH_037,"New York, NY","Chicago, IL",71.0,11.5,3.03,7.73,High,7.0,Storm,Summer,2,8,6.8,Dry Van,0,3,818,80,2269.13,320.6390686,2589.769069,0,0,1,0
SH_038,"Miami, FL","Atlanta, GA",73.0,28.6,4.73,6.55,Medium,8.8,Rain,Summer,3,8,6.4,Tanker,1,3,697,80,1899.33,503.329771,2402.659771,1,0,0,0
SH_039,"Chicago, IL","Dallas, TX",59.1,28.5,3.77,7.84,High,9.4,Storm,Winter,2,8,0.9,Flatbed,0,1,925,60,1704.77,444.8022959,2149.572296,0,1,0,0
SH_040,"Seattle, WA","Houston, TX",42.5,13.0,4.69,4.09,Medium,8.9,Clear,Spring,8,8,1.2,Dry Van,1,1,2173,60,3965.72,2491.777506,6457.497506,1,0,0,0
SH_041,"Los Angeles, CA","Phoenix, AZ",62.0,26.9,4.47,7.21,High,5.7,Snow,Winter,1,8,5.7,Dry Van,0,2,410,70,887.65,254.1886269,1141.838627,0,0,0,1
SH_042,"Los Angeles, CA","Houston, TX",65.6,8.2,3.5,6.32,Low,9.2,Storm,Spring,5,8,4.3,Dry Van,1,2,1577,70,3406.32,873.3386076,4279.658608,1,0,0,0
SH_043,"New York, NY","Atlanta, GA",66.4,7.6,4.81,6.02,Medium,9.0,Rain,Summer,3,8,9.0,Tanker,1,2,858,70,1874.73,685.5448505,2560.27485,0,1,0,0
SH_044,"Dallas, TX","Chicago, IL",40.4,27.6,3.18,5.28,Medium,9.7,Snow,Winter,4,8,4.9,Flatbed,1,1,925,60,1704.77,557.1022727,2261.872273,0,0,0,1
SH_045,"Los Angeles, CA","Houston, TX",43.2,20.1,4.11,4.85,High,9.7,Fog,Fall,5,8,0.9,Flatbed,0,1,1577,60,2892.22,1336.385567,4228.605567,0,1,0,0
SH_046,"Chicago, IL","Los Angeles, CA",42.0,18.7,3.88,7.55,Low,6.1,Snow,Spring,6,8,1.4,Tanker,0,1,2004,60,3729.44,1029.870199,4759.310199,1,0,0,0
SH_047,"Dallas, TX","Houston, TX",61.6,7.5,3.17,6.8,Low,4.4,Snow,Spring,1,8,7.1,Refrigerated,0,2,259,70,554.26,120.7397059,674.9997059,1,0,0,0
SH_049,"Denver, CO","Dallas, TX",64.8,17.0,3.76,6.82,High,5.5,Snow,Fall,3,8,4.3,Refrigerated,1,2,762,70,1634.49,420.1055718,2054.595572,1,0,0,0
SH_050,"Los Angeles, CA","Chicago, IL",54.2,19.3,4.48,7.07,Low,8.9,Fog,Spring,6,8,6.8,Refrigerated,1,1,2004,60,3729.44,1269.861386,4999.301386,0,1,0,0
SH_051,"Miami, FL","Houston, TX",54.0,16.9,3.17,6.11,Low,6.6,Clear,Spring,4,8,5.3,Tanker,1,1,1112,60,2049.42,576.9296236,2626.349624,0,1,0,0
SH_052,"Houston, TX","Chicago, IL",42.6,18.8,4.94,6.09,Medium,7.8,Storm,Fall,4,8,7.0,Dry Van,0,1,1083,60,1995.97,878.4926108,2874.462611,1,0,0,0
SH_053,"Chicago, IL","Houston, TX",65.8,27.9,4.92,4.23,High,6.4,Snow,Winter,4,8,3.4,Flatbed,1,2,1083,70,2350.11,1259.659574,3609.769574,0,0,0,1
SH_054,"Miami, FL","New York, NY",62.6,14.7,3.46,5.06,High,6.2,Storm,Winter,3,8,4.5,Tanker,0,2,1256,70,2775.76,858.8458498,3634.60585,0,0,1,0
SH_055,"Houston, TX","Dallas, TX",49.8,15.3,4.21,5.08,Medium,4.8,Clear,Spring,2,8,9.4,Dry Van,1,1,259,60,470.34,214.6437008,684.9837008,1,0,0,0
SH_056,"Chicago, IL","Miami, FL",60.3,28.0,3.17,7.51,Medium,7.3,Clear,Summer,4,8,4.1,Dry Van,1,2,1370,70,3014.0,578.2822903,3592.28229,0,0,0,1
SH_057,"Miami, FL","Denver, CO",56.8,29.6,3.75,7.0,Medium,6.4,Storm,Spring,6,8,0.6,Refrigerated,1,1,1984,60,3666.43,1062.857143,4729.287143,0,0,0,1
SH_058,"Denver, CO","Los Angeles, CA",44.7,5.3,3.15,6.77,High,7.2,Snow,Fall,4,8,9.1,Flatbed,1,1,954,60,1754.41,443.8847858,2198.294786,0,1,0,0
SH_059,"Houston, TX","Atlanta, GA",65.4,23.9,3.76,4.96,High,5.2,Storm,Summer,3,8,2.7,Tanker,1,2,806,70,1728.87,611.0,2339.87,0,0,1,0
SH_060,"Phoenix, AZ","Atlanta, GA",70.7,23.9,3.09,5.07,Medium,4.1,Rain,Winter,5,8,7.7,Dry Van,1,3,1827,80,4914.63,1113.497041,6028.127041,0,0,1,0
SH_061,"Chicago, IL","Atlanta, GA",69.8,18.8,4.12,7.51,Medium,6.4,Rain,Spring,2,8,7.8,Refrigerated,0,2,677,70,1472.47,371.4034621,1843.873462,0,0,0,1
SH_062,"Dallas, TX","Atlanta, GA",68.2,27.6,4.23,7.92,High,7.6,Clear,Fall,2,8,5.5,Tanker,0,2,828,70,1776.06,442.2272727,2218.287273,0,1,0,0
SH_063,"Denver, CO","Phoenix, AZ",65.4,18.7,3.9,7.64,Low,5.8,Rain,Winter,3,8,9.5,Flatbed,1,2,673,70,1446.95,343.5471204,1790.49712,0,0,0,1
SH_064,"Atlanta, GA","Los Angeles, CA",72.4,17.3,3.52,5.84,High,9.9,Fog,Winter,4,8,3.3,Refrigerated,0,3,2223,80,6026.55,1339.890411,7366.440411,0,0,1,0
SH_065,"Phoenix, AZ","Los Angeles, CA",48.4,6.9,3.26,4.51,High,4.9,Storm,Summer,3,8,6.4,Tanker,1,1,410,60,753.99,296.3636364,1050.353636,0,0,0,1
SH_066,"Seattle, WA","Phoenix, AZ",52.1,27.4,3.95,6.67,High,5.0,Fog,Fall,4,8,8.2,Dry Van,0,1,1282,60,2346.06,759.2053973,3105.265397,0,0,0,1
SH_067,"Houston, TX","Seattle, WA",52.2,5.8,4.1,6.14,High,6.1,Rain,Summer,6,8,5.0,Tanker,0,1,2173,60,3965.72,1451.026059,5416.746059,0,0,0,1
SH_068,"Houston, TX","Atlanta, GA",41.4,25.0,4.26,4.33,Medium,9.2,Snow,Winter,3,8,8.7,Refrigerated,0,1,806,60,1467.73,792.9699769,2260.699977,0,1,0,0
SH_069,"Atlanta, GA","Denver, CO",60.9,29.7,4.07,7.7,Low,5.4,Rain,Winter,4,8,4.6,Tanker,1,2,1392,70,2992.8,735.7714286,3728.571429,0,0,0,1
SH_071,"New York, NY","Dallas, TX",43.7,23.4,3.36,6.26,Medium,9.0,Fog,Winter,6,8,5.4,Dry Van,1,1,1576,60,2918.75,845.9041534,3764.654153,0,1,0,0
SH_072,"Denver, CO","New York, NY",52.0,16.8,3.71,6.6,High,6.9,Storm,Spring,5,8,7.4,Tanker,0,1,1872,60,3474.43,1052.290909,4526.720909,0,1,0,0
SH_073,"Houston, TX","Denver, CO",60.5,19.1,3.76,5.35,Low,9.4,Fog,Summer,3,8,3.6,Tanker,0,2,1010,70,2166.45,709.8317757,2876.281776,1,0,0,0
SH_074,"Phoenix, AZ","Los Angeles, CA",61.2,10.9,3.2,4.61,High,5.5,Clear,Fall,1,8,1.9,Flatbed,0,2,410,70,887.65,284.5986985,1172.248698,1,0,0,0
SH_075,"Denver, CO","Los Angeles, CA",46.1,27.4,3.16,6.1,Low,6.5,Clear,Summer,4,8,1.1,Tanker,1,1,954,60,1754.41,494.2032787,2248.613279,0,1,0,0
SH_076,"Atlanta, GA","Phoenix, AZ",73.9,26.6,4.63,5.03,Medium,5.0,Fog,Summer,5,8,9.3,Tanker,1,3,1827,80,4914.63,1681.71173,6596.34173,1,0,0,0
SH_077,"Chicago, IL","Phoenix, AZ",60.0,12.0,4.54,4.75,High,5.9,Storm,Winter,4,8,5.1,Dry Van,0,1,1670,60,3086.16,1596.168421,4682.328421,0,0,0,1
SH_078,"Chicago, IL","Dallas, TX",44.0,20.3,3.58,6.32,Low,4.9,Rain,Winter,3,8,5.3,Refrigerated,0,1,925,60,1704.77,523.971519,2228.741519,0,0,1,0
SH_079,"Los Angeles, CA","Phoenix, AZ",51.8,8.4,3.13,7.96,Low,5.9,Storm,Spring,2,8,2.5,Tanker,1,1,410,60,753.99,161.218593,915.208593,0,0,1,0
SH_080,"Miami, FL","Los Angeles, CA",66.6,19.9,3.94,5.65,High,6.1,Clear,Spring,6,8,8.3,Dry Van,0,2,2686,70,5882.34,1873.069027,7755.409027,1,0,0,0
SH_081,"New York, NY","Dallas, TX",44.4,23.3,4.88,4.72,High,4.4,Fog,Fall,5,8,5.7,Refrigerated,0,1,1576,60,2918.75,1629.423729,4548.173729,0,1,0,0
SH_082,"New York, NY","Atlanta, GA",44.9,24.9,3.4,4.65,High,5.0,Snow,Winter,4,8,6.7,Flatbed,1,1,858,60,1592.45,627.3548387,2219.804839,0,1,0,0
SH_083,"Seattle, WA","Denver, CO",52.6,26.9,3.78,7.27,Medium,6.6,Clear,Summer,4,8,3.0,Flatbed,1,1,1172,60,2144.76,609.3755158,2754.135516,0,0,1,0
SH_084,"Phoenix, AZ","Chicago, IL",57.6,10.8,4.8,5.54,Medium,7.3,Fog,Spring,4,8,6.2,Tanker,0,1,1670,60,3086.16,1446.931408,4533.091408,0,0,1,0
SH_085,"Seattle, WA","Houston, TX",72.9,20.7,3.67,4.56,High,8.8,Fog,Fall,5,8,7.4,Tanker,1,3,2173,80,5845.37,1748.883772,7594.253772,1,0,0,0
SH_086,"Miami, FL","Atlanta, GA",74.9,23.8,4.41,7.11,Medium,4.9,Fog,Spring,3,8,7.1,Tanker,1,3,697,80,1899.33,432.3164557,2331.646456,1,0,0,0
SH_087,"Miami, FL","Dallas, TX",66.4,7.6,4.07,5.52,Medium,6.7,Rain,Fall,4,8,5.0,Refrigerated,1,2,1277,70,2771.09,941.5561594,3712.646159,0,0,0,1
SH_088,"Houston, TX","Miami, FL",57.0,15.2,4.54,4.05,High,7.6,Snow,Winter,3,8,7.2,Refrigerated,0,1,1112,60,2049.42,1246.538272,3295.958272,0,1,0,0
SH_089,"Atlanta, GA","Denver, CO",68.9,29.0,3.69,4.91,High,6.5,Rain,Fall,4,8,1.0,Tanker,1,2,1392,70,2992.8,1046.126273,4038.926273,0,1,0,0
SH_090,"Dallas, TX","Chicago, IL",65.4,19.8,3.2,7.68,Low,8.7,Fog,Spring,3,8,6.5,Dry Van,1,2,925,70,2007.25,385.4166667,2392.666667,0,1,0,0
SH_091,"Phoenix, AZ","Seattle, WA",53.1,6.7,3.15,4.42,Medium,9.0,Fog,Summer,5,8,1.1,Dry Van,1,1,1282,60,2346.06,913.6425339,3259.702534,0,0,1,0
SH_092,"Houston, TX","New York, NY",69.4,8.1,4.84,7.48,Low,7.1,Clear,Spring,3,8,4.0,Dry Van,0,2,1630,70,3553.4,1054.705882,4608.105882,0,1,0,0
SH_093,"Seattle, WA","Los Angeles, CA",51.7,25.1,3.01,5.33,Low,6.4,Fog,Summer,3,8,9.2,Dry Van,0,1,1104,60,2034.67,623.4596623,2658.129662,0,0,0,1
SH_094,"Atlanta, GA","Houston, TX",52.1,23.4,3.9,4.9,Medium,6.7,Rain,Summer,2,8,1.8,Flatbed,0,1,806,60,1467.73,641.5102041,2109.240204,0,0,1,0
SH_095,"Houston, TX","Dallas, TX",54.7,27.9,3.72,6.32,High,7.8,Snow,Spring,1,8,5.2,Tanker,0,1,259,60,470.34,152.4493671,622.7893671,0,1,0,0
SH_096,"Dallas, TX","Houston, TX",56.1,18.9,4.72,6.14,Medium,5.1,Fog,Summer,1,8,3.1,Refrigerated,0,1,259,60,470.34,199.1009772,669.4409772,0,0,0,1
SH_097,"Houston, TX","Phoenix, AZ",54.9,25.0,3.7,5.87,Low,7.7,Fog,Fall,3,8,0.7,Flatbed,0,1,1166,60,2123.29,734.9574106,2858.247411,0,1,0,0
SH_098,"Los Angeles, CA","New York, NY",55.9,18.1,3.88,5.6,Medium,7.4,Clear,Spring,8,8,3.3,Flatbed,1,1,2812,60,5258.44,1948.314286,7206.754286,0,0,1,0
SH_099,"New York, NY","Atlanta, GA",66.4,11.8,4.79,6.11,Medium,8.8,Fog,Fall,3,8,8.4,Dry Van,1,2,858,70,1874.73,672.6382979,2547.368298,1,0,0,0
SH_100,"Houston, TX","Dallas, TX",54.3,18.8,3.51,4.78,High,7.0,Clear,Spring,2,8,3.4,Refrigerated,1,1,259,60,470.34,190.1861925,660.5261925,0,0,0,1
SH_101,"Chicago, IL","Los Angeles, CA",71.1,18.9,4.44,7.22,Low,9.9,Storm,Winter,4,8,8.3,Refrigerated,0,3,2004,80,5502.98,1232.376731,6735.356731,1,0,0,0
SH_102,"Denver, CO","Phoenix, AZ",63.4,10.1,3.59,7.59,High,4.1,Fog,Summer,2,8,2.1,Flatbed,0,2,673,70,1446.95,318.3227931,1765.272793,0,0,1,0
SH_103,"Houston, TX","New York, NY",46.4,19.6,3.84,7.57,Medium,8.9,Clear,Spring,5,8,2.6,Dry Van,0,1,1630,60,3018.76,826.8428005,3845.602801,0,0,1,0
SH_104,"Denver, CO","Chicago, IL",60.7,11.7,4.25,5.64,Low,7.3,Rain,Summer,3,8,2.9,Refrigerated,0,2,1056,70,2296.8,795.7446809,3092.544681,0,0,0,1
SH_105,"Dallas, TX","Los Angeles, CA",66.7,8.5,4.74,5.95,High,9.4,Storm,Summer,3,8,0.2,Tanker,0,2,1423,70,3073.68,1133.616807,4207.296807,0,1,0,0
SH_106,"Phoenix, AZ","Houston, TX",59.0,20.8,3.52,4.56,Medium,9.0,Snow,Fall,3,8,5.3,Tanker,0,1,1166,60,2123.29,900.0701754,3023.360175,0,0,1,0
SH_107,"New York, NY","Dallas, TX",49.5,5.5,4.83,4.47,High,7.5,Snow,Summer,4,8,5.5,Flatbed,0,1,1576,60,2918.75,1702.926174,4621.676174,0,0,1,0
SH_108,"Atlanta, GA","Dallas, TX",69.0,10.2,3.02,4.55,Medium,9.4,Storm,Winter,3,8,6.0,Refrigerated,1,2,828,70,1776.06,549.5736264,2325.633626,0,0,0,1
SH_109,"Seattle, WA","Phoenix, AZ",63.3,9.4,4.83,5.68,Low,6.3,Storm,Fall,3,8,9.6,Tanker,0,2,1282,70,2762.71,1090.151408,3852.861408,0,0,1,0
SH_110,"Phoenix, AZ","Miami, FL",43.2,24.3,3.14,7.35,Medium,6.6,Snow,Winter,8,8,7.2,Refrigerated,1,1,2276,60,4206.05,972.3319728,5178.381973,0,0,1,0
SH_111,"Denver, CO","Phoenix, AZ",73.2,14.9,4.91,4.54,High,6.9,Fog,Winter,2,8,2.6,Tanker,0,3,673,80,1810.37,727.8480176,2538.218018,1,0,0,0
SH_112,"Miami, FL","Houston, TX",41.8,17.4,4.19,5.34,Low,8.6,Fog,Winter,5,8,0.8,Tanker,1,1,1112,60,2049.42,872.5243446,2921.944345,0,0,1,0
SH_113,"Dallas, TX","Atlanta, GA",57.3,22.2,3.87,4.99,Medium,8.9,Storm,Fall,2,8,6.9,Tanker,0,1,828,60,1507.79,642.1563126,2149.946313,1,0,0,0
SH_114,"Atlanta, GA","Houston, TX",60.7,14.0,3.18,7.67,Low,4.8,Snow,Fall,2,8,5.2,Tanker,0,2,806,70,1728.87,334.1694915,2063.039492,0,0,1,0
SH_115,"Dallas, TX","Atlanta, GA",73.5,24.0,4.28,7.04,Low,8.3,Snow,Winter,2,8,2.5,Tanker,0,3,828,80,2221.52,503.3863636,2724.906364,0,0,1,0
SH_116,"Atlanta, GA","Chicago, IL",47.7,29.7,4.89,4.16,Low,8.2,Rain,Fall,3,8,1.8,Dry Van,1,1,677,60,1251.1,795.8004808,2046.900481,1,0,0,0
SH_117,"Denver, CO","Phoenix, AZ",72.0,5.8,4.39,5.19,Low,9.5,Fog,Spring,2,8,9.4,Tanker,0,3,673,80,1810.37,569.2620424,2379.632042,1,0,0,0
SH_118,"New York, NY","Seattle, WA",70.2,26.1,3.64,7.32,Low,4.2,Clear,Summer,6,8,5.6,Tanker,1,3,2762,80,7584.45,1373.453552,8957.903552,1,0,0,0
SH_119,"Seattle, WA","Houston, TX",71.0,18.3,3.88,5.62,Medium,7.4,Snow,Fall,5,8,5.4,Refrigerated,1,3,2173,80,5845.37,1500.220641,7345.590641,1,0,0,0
SH_120,"Seattle, WA","Phoenix, AZ",65.8,18.0,3.85,7.51,Medium,6.5,Storm,Fall,4,8,9.9,Tanker,1,2,1282,70,2762.71,657.2170439,3419.927044,0,0,1,0
SH_121,"Atlanta, GA","New York, NY",46.5,14.6,4.87,4.28,Medium,4.1,Rain,Fall,4,8,0.4,Flatbed,1,1,858,60,1592.45,976.2757009,2568.725701,0,0,1,0
SH_122,"Phoenix, AZ","Denver, CO",60.3,11.8,3.8,4.37,High,6.0,Rain,Fall,2,8,7.3,Flatbed,0,2,673,70,1446.95,585.2173913,2032.167391,0,0,1,0
SH_123,"Seattle, WA","Miami, FL",56.4,12.4,4.71,6.86,Medium,7.5,Clear,Fall,7,8,9.9,Flatbed,0,1,3141,60,5817.13,2156.575802,7973.705802,1,0,0,0
SH_124,"Denver, CO","Los Angeles, CA",53.5,22.0,3.44,7.8,Medium,8.7,Snow,Summer,3,8,8.8,Tanker,0,1,954,60,1754.41,420.7384615,2175.148462,0,0,1,0
SH_125,"Miami, FL","Seattle, WA",56.4,20.3,3.33,7.96,Medium,5.4,Fog,Winter,7,8,6.5,Flatbed,0,1,3141,60,5817.13,1314.011307,7131.141307,0,0,0,1
SH_126,"Houston, TX","Atlanta, GA",57.9,10.8,3.35,4.88,Low,5.1,Fog,Winter,3,8,3.5,Flatbed,1,1,806,60,1467.73,553.2991803,2021.02918,0,0,0,1
SH_127,"Los Angeles, CA","Houston, TX",73.9,27.1,4.86,7.98,Low,5.0,Snow,Winter,4,8,4.9,Dry Van,1,3,1577,80,4264.21,960.4285714,5224.638571,0,1,0,0
SH_128,"Miami, FL","Denver, CO",71.4,16.6,4.25,6.99,Low,4.2,Storm,Fall,4,8,8.6,Refrigerated,0,3,1984,80,5406.4,1206.294707,6612.694707,1,0,0,0
SH_129,"Los Angeles, CA","Chicago, IL",53.7,11.8,3.95,4.18,Medium,9.1,Storm,Spring,5,8,6.6,Tanker,0,1,2004,60,3729.44,1893.732057,5623.172057,0,0,1,0
SH_130,"Atlanta, GA","Phoenix, AZ",43.0,15.2,3.75,5.04,Medium,8.3,Fog,Summer,7,8,9.6,Flatbed,1,1,1827,60,3334.28,1359.375,4693.655,0,0,1,0
SH_131,"Houston, TX","Seattle, WA",71.3,29.8,3.12,7.53,Low,7.1,Fog,Summer,5,8,5.7,Dry Van,1,3,2173,80,5845.37,900.3665339,6745.736534,0,1,0,0
SH_132,"Houston, TX","Phoenix, AZ",59.0,26.6,4.47,6.09,Low,9.2,Fog,Fall,3,8,8.7,Flatbed,0,1,1166,60,2123.29,855.8325123,2979.122512,0,0,1,0
SH_133,"Denver, CO","Miami, FL",69.3,22.4,4.36,6.47,Medium,8.5,Snow,Winter,5,8,8.8,Tanker,1,2,1984,70,4315.2,1336.976816,5652.176816,0,0,0,1
SH_134,"Dallas, TX","New York, NY",41.0,25.6,3.26,5.34,High,8.5,Fog,Summer,6,8,5.6,Refrigerated,1,1,1576,60,2918.75,962.1273408,3880.877341,0,0,0,1
SH_135,"Atlanta, GA","New York, NY",49.1,9.8,3.17,5.31,Medium,7.4,Rain,Winter,4,8,3.8,Flatbed,1,1,858,60,1592.45,512.2146893,2104.664689,1,0,0,0
SH_136,"Phoenix, AZ","Dallas, TX",68.7,8.2,3.57,4.07,Medium,6.6,Rain,Winter,3,8,3.9,Dry Van,1,2,1017,70,2181.47,892.0614251,3073.531425,0,0,1,0
SH_137,"Denver, CO","Los Angeles, CA",66.4,24.7,3.35,7.08,Low,9.7,Storm,Summer,2,8,0.7,Dry Van,0,2,954,70,2065.41,451.3983051,2516.808305,0,1,0,0
SH_138,"Houston, TX","Phoenix, AZ",52.1,20.5,3.09,7.49,High,9.8,Snow,Winter,3,8,1.3,Tanker,0,1,1166,60,2123.29,481.0333778,2604.323378,0,0,1,0
