origin_city,destination_city,avg_speed_mph,weight_of_truck_tons,fuel_price_usd_per_gallon,fuel_efficiency_mpg,traffic_status,road_condition_score,weather_condition,season,delivery_target_days,driver_hours_per_day,market_demand_index,carrier_type,holiday_indicator,lane_type_original,lane_type_corrected,lane_id_corrected,ref_distance_miles,ref_speed_limit_mph,ref_total_lane_cost_usd,fuel_cost_usd,total_cost_usd,avg_speed_mph_corrected
"Atlanta, GA","Denver, CO",60.9,29.7,4.07,7.7,Low,5.4,Rain,Winter,3,8,4.6,Tanker,1,fast,normal,2,1392,70,2992.8,735.7714286,3728.571429,60.9
"Miami, FL","Seattle, WA",41.3,11.3,4.43,7.58,Medium,7.1,Clear,Spring,10,8,3.5,Tanker,1,normal,slow,1,3141,60,5817.13,1835.703166,7652.833166,41.3
"New York, NY","Dallas, TX",43.7,23.4,3.36,6.26,Medium,9,Fog,Winter,5,8,5.4,Dry Van,1,fast,slow,1,1576,60,2918.75,845.9041534,3764.654153,43.7
"Denver, CO","New York, NY",52,16.8,3.71,6.6,High,6.9,Storm,Spring,5,8,7.4,Tanker,0,fast,slow,1,1872,60,3474.43,1052.290909,4526.720909,52
"Houston, TX","Denver, CO",60.5,19.1,3.76,5.35,Low,9.4,Fog,Summer,3,8,3.6,Tanker,0,normal,normal,2,1010,70,2166.45,709.8317757,2876.281776,60.5
"Phoenix, AZ","Los Angeles, CA",61.2,10.9,3.2,4.61,High,5.5,Clear,Fall,1,8,1.9,Flatbed,0,fast,normal,2,410,70,887.65,284.5986985,1172.248698,61.2
"Denver, CO","Los Angeles, CA",46.1,27.4,3.16,6.1,Low,6.5,Clear,Summer,3,8,1.1,Tanker,1,normal,slow,1,954,60,1754.41,494.2032787,2248.613279,46.1
"Atlanta, GA","Phoenix, AZ",73.9,26.6,4.63,5.03,Medium,5,Fog,Summer,4,8,9.3,Tanker,1,normal,fast,3,1827,80,4914.63,1681.71173,6596.34173,73.9
"Chicago, IL","Phoenix, AZ",60,12,4.54,4.75,High,5.9,Storm,Winter,4,8,5.1,Dry Van,0,slow,slow,1,1670,60,3086.16,1596.168421,4682.328421,60
"Chicago, IL","Dallas, TX",44,20.3,3.58,6.32,Low,4.9,Rain,Winter,3,8,5.3,Refrigerated,0,slow,slow,1,925,60,1704.77,523.971519,2228.741519,44
"Los Angeles, CA","Phoenix, AZ",51.8,8.4,3.13,7.96,Low,5.9,Storm,Spring,1,8,2.5,Tanker,1,fast,slow,1,410,60,753.99,161.218593,915.208593,51.8
"Miami, FL","Los Angeles, CA",66.6,19.9,3.94,5.65,High,6.1,Clear,Spring,6,8,8.3,Dry Van,0,fast,normal,2,2686,70,5882.34,1873.069027,7755.409027,66.6
"New York, NY","Dallas, TX",44.4,23.3,4.88,4.72,High,4.4,Fog,Fall,5,8,5.7,Refrigerated,0,normal,slow,1,1576,60,2918.75,1629.423729,4548.173729,44.4
"New York, NY","Atlanta, GA",44.9,24.9,3.4,4.65,High,5,Snow,Winter,3,8,6.7,Flatbed,1,slow,slow,1,858,60,1592.45,627.3548387,2219.804839,44.9
"Seattle, WA","Denver, CO",52.6,26.9,3.78,7.27,Medium,6.6,Clear,Summer,3,8,3,Flatbed,1,fast,slow,1,1172,60,2144.76,609.3755158,2754.135516,52.6
"Phoenix, AZ","Chicago, IL",57.6,10.8,4.8,5.54,Medium,7.3,Fog,Spring,4,8,6.2,Tanker,0,normal,slow,1,1670,60,3086.16,1446.931408,4533.091408,57.6
"Seattle, WA","Houston, TX",72.9,20.7,3.67,4.56,High,8.8,Fog,Fall,4,8,7.4,Tanker,1,fast,fast,3,2173,80,5845.37,1748.883772,7594.253772,72.9
"Miami, FL","Atlanta, GA",74.9,23.8,4.41,7.11,Medium,4.9,Fog,Spring,2,8,7.1,Tanker,1,slow,fast,3,697,80,1899.33,432.3164557,2331.646456,74.9
"Miami, FL","Dallas, TX",66.4,7.6,4.07,5.52,Medium,6.7,Rain,Fall,3,8,5,Refrigerated,1,normal,normal,2,1277,70,2771.09,941.5561594,3712.646159,66.4
"Houston, TX","Miami, FL",57,15.2,4.54,4.05,High,7.6,Snow,Winter,3,8,7.2,Refrigerated,0,normal,slow,1,1112,60,2049.42,1246.538272,3295.958272,57
"Atlanta, GA","Denver, CO",68.9,29,3.69,4.91,High,6.5,Rain,Fall,3,8,1,Tanker,1,normal,normal,2,1392,70,2992.8,1046.126273,4038.926273,68.9
"Dallas, TX","Chicago, IL",65.4,19.8,3.2,7.68,Low,8.7,Fog,Spring,2,8,6.5,Dry Van,1,normal,normal,2,925,70,2007.25,385.4166667,2392.666667,65.4
"Phoenix, AZ","Seattle, WA",53.1,6.7,3.15,4.42,Medium,9,Fog,Summer,4,8,1.1,Dry Van,1,fast,slow,1,1282,60,2346.06,913.6425339,3259.702534,53.1
"Houston, TX","New York, NY",69.4,8.1,4.84,7.48,Low,7.1,Clear,Spring,3,8,4,Dry Van,0,normal,normal,2,1630,70,3553.4,1054.705882,4608.105882,69.4
"Seattle, WA","Los Angeles, CA",51.7,25.1,3.01,5.33,Low,6.4,Fog,Summer,3,8,9.2,Dry Van,0,slow,slow,1,1104,60,2034.67,623.4596623,2658.129662,51.7
"Atlanta, GA","Houston, TX",52.1,23.4,3.9,4.9,Medium,6.7,Rain,Summer,2,8,1.8,Flatbed,0,slow,slow,1,806,60,1467.73,641.5102041,2109.240204,52.1
"Houston, TX","Dallas, TX",54.7,27.9,3.72,6.32,High,7.8,Snow,Spring,1,8,5.2,Tanker,0,slow,slow,1,259,60,470.34,152.4493671,622.7893671,54.7
"Dallas, TX","Houston, TX",56.1,18.9,4.72,6.14,Medium,5.1,Fog,Summer,1,8,3.1,Refrigerated,0,normal,slow,1,259,60,470.34,199.1009772,669.4409772,56.1
"Houston, TX","Phoenix, AZ",54.9,25,3.7,5.87,Low,7.7,Fog,Fall,3,8,0.7,Flatbed,0,slow,slow,1,1166,60,2123.29,734.9574106,2858.247411,54.9
"Los Angeles, CA","New York, NY",55.9,18.1,3.88,5.6,Medium,7.4,Clear,Spring,7,8,3.3,Flatbed,1,fast,slow,1,2812,60,5258.44,1948.314286,7206.754286,55.9
"New York, NY","Atlanta, GA",66.4,11.8,4.79,6.11,Medium,8.8,Fog,Fall,2,8,8.4,Dry Van,1,fast,normal,2,858,70,1874.73,672.6382979,2547.368298,66.4
"Houston, TX","Dallas, TX",54.3,18.8,3.51,4.78,High,7,Clear,Spring,1,8,3.4,Refrigerated,1,fast,slow,1,259,60,470.34,190.1861925,660.5261925,54.3
"Chicago, IL","Los Angeles, CA",71.1,18.9,4.44,7.22,Low,9.9,Storm,Winter,4,8,8.3,Refrigerated,0,slow,fast,3,2004,80,5502.98,1232.376731,6735.356731,71.1
"Denver, CO","Phoenix, AZ",63.4,10.1,3.59,7.59,High,4.1,Fog,Summer,2,8,2.1,Flatbed,0,fast,normal,2,673,70,1446.95,318.3227931,1765.272793,63.4
"Houston, TX","New York, NY",46.4,19.6,3.84,7.57,Medium,8.9,Clear,Spring,5,8,2.6,Dry Van,0,fast,slow,1,1630,60,3018.76,826.8428005,3845.602801,46.4
"Denver, CO","Chicago, IL",60.7,11.7,4.25,5.64,Low,7.3,Rain,Summer,3,8,2.9,Refrigerated,0,fast,normal,2,1056,70,2296.8,795.7446809,3092.544681,60.7
"Dallas, TX","Los Angeles, CA",66.7,8.5,4.74,5.95,High,9.4,Storm,Summer,3,8,0.2,Tanker,0,normal,normal,2,1423,70,3073.68,1133.616807,4207.296807,66.7
"Phoenix, AZ","Houston, TX",59,20.8,3.52,4.56,Medium,9,Snow,Fall,3,8,5.3,Tanker,0,fast,slow,1,1166,60,2123.29,900.0701754,3023.360175,59
"New York, NY","Dallas, TX",49.5,5.5,4.83,4.47,High,7.5,Snow,Summer,4,8,5.5,Flatbed,0,normal,slow,1,1576,60,2918.75,1702.926174,4621.676174,49.5
"Atlanta, GA","Dallas, TX",69,10.2,3.02,4.55,Medium,9.4,Storm,Winter,2,8,6,Refrigerated,1,fast,normal,2,828,70,1776.06,549.5736264,2325.633626,69
"Seattle, WA","Phoenix, AZ",63.3,9.4,4.83,5.68,Low,6.3,Storm,Fall,3,8,9.6,Tanker,0,normal,normal,2,1282,70,2762.71,1090.151408,3852.861408,63.3
"Phoenix, AZ","Miami, FL",43.2,24.3,3.14,7.35,Medium,6.6,Snow,Winter,7,8,7.2,Refrigerated,1,normal,slow,1,2276,60,4206.05,972.3319728,5178.381973,43.2
"Denver, CO","Phoenix, AZ",73.2,14.9,4.91,4.54,High,6.9,Fog,Winter,2,8,2.6,Tanker,0,normal,fast,3,673,80,1810.37,727.8480176,2538.218018,73.2
"Miami, FL","Houston, TX",41.8,17.4,4.19,5.34,Low,8.6,Fog,Winter,4,8,0.8,Tanker,1,normal,slow,1,1112,60,2049.42,872.5243446,2921.944345,41.8
"Dallas, TX","Atlanta, GA",57.3,22.2,3.87,4.99,Medium,8.9,Storm,Fall,2,8,6.9,Tanker,0,fast,slow,1,828,60,1507.79,642.1563126,2149.946313,57.3
"Atlanta, GA","Houston, TX",60.7,14,3.18,7.67,Low,4.8,Snow,Fall,2,8,5.2,Tanker,0,fast,normal,2,806,70,1728.87,334.1694915,2063.039492,60.7
"Dallas, TX","Atlanta, GA",73.5,24,4.28,7.04,Low,8.3,Snow,Winter,2,8,2.5,Tanker,0,fast,fast,3,828,80,2221.52,503.3863636,2724.906364,73.5
"Atlanta, GA","Chicago, IL",47.7,29.7,4.89,4.16,Low,8.2,Rain,Fall,2,8,1.8,Dry Van,1,normal,slow,1,677,60,1251.1,795.8004808,2046.900481,47.7
"Denver, CO","Phoenix, AZ",72,5.8,4.39,5.19,Low,9.5,Fog,Spring,2,8,9.4,Tanker,0,normal,fast,3,673,80,1810.37,569.2620424,2379.632042,72
"New York, NY","Seattle, WA",70.2,26.1,3.64,7.32,Low,4.2,Clear,Summer,5,8,5.6,Tanker,1,fast,fast,3,2762,80,7584.45,1373.453552,8957.903552,70.2
"Seattle, WA","Houston, TX",71,18.3,3.88,5.62,Medium,7.4,Snow,Fall,4,8,5.4,Refrigerated,1,slow,fast,3,2173,80,5845.37,1500.220641,7345.590641,71
"Seattle, WA","Phoenix, AZ",65.8,18,3.85,7.51,Medium,6.5,Storm,Fall,3,8,9.9,Tanker,1,normal,normal,2,1282,70,2762.71,657.2170439,3419.927044,65.8
"Atlanta, GA","New York, NY",46.5,14.6,4.87,4.28,Medium,4.1,Rain,Fall,3,8,0.4,Flatbed,1,fast,slow,1,858,60,1592.45,976.2757009,2568.725701,46.5
"Phoenix, AZ","Denver, CO",60.3,11.8,3.8,4.37,High,6,Rain,Fall,2,8,7.3,Flatbed,0,normal,normal,2,673,70,1446.95,585.2173913,2032.167391,60.3
"Seattle, WA","Miami, FL",56.4,12.4,4.71,6.86,Medium,7.5,Clear,Fall,7,8,9.9,Flatbed,0,slow,slow,1,3141,60,5817.13,2156.575802,7973.705802,56.4
"Denver, CO","Los Angeles, CA",53.5,22,3.44,7.8,Medium,8.7,Snow,Summer,3,8,8.8,Tanker,0,slow,slow,1,954,60,1754.41,420.7384615,2175.148462,53.5
"Miami, FL","Seattle, WA",56.4,20.3,3.33,7.96,Medium,5.4,Fog,Winter,7,8,6.5,Flatbed,0,normal,slow,1,3141,60,5817.13,1314.011307,7131.141307,56.4
"Houston, TX","Atlanta, GA",57.9,10.8,3.35,4.88,Low,5.1,Fog,Winter,2,8,3.5,Flatbed,1,fast,slow,1,806,60,1467.73,553.2991803,2021.02918,57.9
"Los Angeles, CA","Houston, TX",73.9,27.1,4.86,7.98,Low,5,Snow,Winter,3,8,4.9,Dry Van,1,slow,fast,3,1577,80,4264.21,960.4285714,5224.638571,73.9
"Miami, FL","Denver, CO",71.4,16.6,4.25,6.99,Low,4.2,Storm,Fall,4,8,8.6,Refrigerated,0,slow,fast,3,1984,80,5406.4,1206.294707,6612.694707,71.4
"Los Angeles, CA","Chicago, IL",53.7,11.8,3.95,4.18,Medium,9.1,Storm,Spring,5,8,6.6,Tanker,0,fast,slow,1,2004,60,3729.44,1893.732057,5623.172057,53.7
"Atlanta, GA","Phoenix, AZ",43,15.2,3.75,5.04,Medium,8.3,Fog,Summer,6,8,9.6,Flatbed,1,fast,slow,1,1827,60,3334.28,1359.375,4693.655,43
"Houston, TX","Seattle, WA",71.3,29.8,3.12,7.53,Low,7.1,Fog,Summer,4,8,5.7,Dry Van,1,slow,fast,3,2173,80,5845.37,900.3665339,6745.736534,71.3
"Houston, TX","Phoenix, AZ",59,26.6,4.47,6.09,Low,9.2,Fog,Fall,3,8,8.7,Flatbed,0,normal,slow,1,1166,60,2123.29,855.8325123,2979.122512,59
"Denver, CO","Miami, FL",69.3,22.4,4.36,6.47,Medium,8.5,Snow,Winter,4,8,8.8,Tanker,1,fast,normal,2,1984,70,4315.2,1336.976816,5652.176816,69.3
"Dallas, TX","New York, NY",41,25.6,3.26,5.34,High,8.5,Fog,Summer,5,8,5.6,Refrigerated,1,fast,slow,1,1576,60,2918.75,962.1273408,3880.877341,41
"Atlanta, GA","New York, NY",49.1,9.8,3.17,5.31,Medium,7.4,Rain,Winter,3,8,3.8,Flatbed,1,fast,slow,1,858,60,1592.45,512.2146893,2104.664689,49.1
"Phoenix, AZ","Dallas, TX",68.7,8.2,3.57,4.07,Medium,6.6,Rain,Winter,2,8,3.9,Dry Van,1,fast,normal,2,1017,70,2181.47,892.0614251,3073.531425,68.7
"Denver, CO","Los Angeles, CA",66.4,24.7,3.35,7.08,Low,9.7,Storm,Summer,2,8,0.7,Dry Van,0,slow,normal,2,954,70,2065.41,451.3983051,2516.808305,66.4
"Houston, TX","Phoenix, AZ",52.1,20.5,3.09,7.49,High,9.8,Snow,Winter,3,8,1.3,Tanker,0,normal,slow,1,1166,60,2123.29,481.0333778,2604.323378,52.1
"Los Angeles, CA","Atlanta, GA",40.9,5.6,3.65,5.95,High,8.6,Fog,Summer,7,8,1.6,Flatbed,1,fast,slow,1,2223,60,4088.1,1363.689076,5451.789076,40.9
"Dallas, TX","Houston, TX",73.1,7.6,4.71,6.11,Low,9,Fog,Summer,1,8,0.8,Dry Van,1,fast,fast,3,259,80,693.08,199.6546645,892.7346645,73.1
"Miami, FL","Chicago, IL",62.9,11.8,4.9,4.6,Low,6.6,Fog,Winter,3,8,4.2,Dry Van,0,fast,normal,2,1370,70,3014,1459.347826,4473.347826,62.9
